vgg16 full
FAILED:

FarCryNewDawn 2019-07-03 17-39-06-44.bmp | predicted: hots.np
FarCryNewDawn 2019-07-03 17-38-56-44.bmp | predicted: hots.np
FarCryNewDawn 2019-07-03 17-37-56-45.bmp | predicted: hots.np
Overwatch 2019-06-06 11-08-22-51.bmp | predicted: hots.np
Overwatch 2019-06-06 11-09-12-51.bmp | predicted: hots.np
Overwatch 2019-06-01 09-39-11-70.bmp | predicted: hots.np
Overwatch 2019-06-01 09-38-31-70.bmp | predicted: hots.np
Overwatch 2019-06-06 11-09-32-51.bmp | predicted: hots.np
Overwatch 2019-06-01 09-39-01-70.bmp | predicted: hots.np
Overwatch 2019-06-01 09-39-31-69.bmp | predicted: hots.np
Overwatch 2019-06-01 09-39-51-70.bmp | predicted: hots.np
Overwatch 2019-06-06 11-09-02-50.bmp | predicted: hots.np
Overwatch 2019-06-06 11-09-42-50.bmp | predicted: hots.np
Overwatch 2019-06-01 09-38-41-70.bmp | predicted: hots.np
Overwatch 2019-06-06 11-09-22-50.bmp | predicted: hots.np
Overwatch 2019-06-01 09-39-41-70.bmp | predicted: hots.np
Overwatch 2019-06-06 11-09-52-51.bmp | predicted: hots.np
Overwatch 2019-06-06 11-08-32-51.bmp | predicted: hots.np
Overwatch 2019-06-01 09-39-21-69.bmp | predicted: hots.np
Overwatch 2019-06-06 11-08-42-50.bmp | predicted: hots.np
Overwatch 2019-06-01 09-38-51-70.bmp | predicted: hots.np
Overwatch 2019-06-06 11-08-52-50.bmp | predicted: hots.np
Overwatch 2019-06-01 09-40-01-69.bmp | predicted: hots.np
ZoneUE4-Win64-Shipping 2019-05-23 18-38-41-50.bmp | predicted: hots.np
ZoneUE4-Win64-Shipping 2019-05-23 18-39-01-50.bmp | predicted: farcry.np
ZoneUE4-Win64-Shipping 2019-05-23 18-39-31-50.bmp | predicted: hots.np
ZoneUE4-Win64-Shipping 2019-05-23 18-38-11-50.bmp | predicted: apex.np
ZoneUE4-Win64-Shipping 2019-05-23 18-39-11-50.bmp | predicted: hots.np
ZoneUE4-Win64-Shipping 2019-05-23 18-39-21-51.bmp | predicted: apex.np
ZoneUE4-Win64-Shipping 2019-05-23 18-38-51-50.bmp | predicted: farcry.np
ZoneUE4-Win64-Shipping 2019-05-23 18-38-21-49.bmp | predicted: hots.np
ZoneUE4-Win64-Shipping 2019-05-23 18-38-31-49.bmp | predicted: hots.np
ZoneUE4-Win64-Shipping 2019-05-23 18-39-51-51.bmp | predicted: apex.np
League of Legends 2019-08-21 08-41-34-73.bmp | predicted: hots.np
League of Legends 2019-08-21 08-34-24-69.bmp | predicted: hots.np
League of Legends 2019-08-21 08-39-44-70.bmp | predicted: hots.np
League of Legends 2019-08-21 08-48-54-68.bmp | predicted: hots.np
League of Legends 2019-08-21 08-39-34-69.bmp | predicted: hots.np
League of Legends 2019-05-23 16-59-18-16.bmp | predicted: hots.np
League of Legends 2019-06-01 09-52-30-95.bmp | predicted: hots.np
League of Legends 2019-05-23 15-17-36-21.bmp | predicted: hots.np
League of Legends 2019-05-23 16-59-48-16.bmp | predicted: hots.np
League of Legends 2019-06-01 09-51-54-29.bmp | predicted: hots.np
League of Legends 2019-05-23 17-00-08-16.bmp | predicted: hots.np
League of Legends 2019-06-01 09-54-10-94.bmp | predicted: hots.np
